web-scraper-order,web-scraper-start-url,product-name,product-description-optional,product-code,discount-amount,list-price-before-discount,availability,product-image-src,offer-validity,offer-start-date,offer-end-date
1718592851-54,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,Kraft Macaroni & Cheese Dinner,18 ct,170779,4,,"Also available at 
COSTCO.COM",https://web.archive.org/web/20200101231059im_/https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=170779-847&recipeName=350,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-55,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,Snapdragon Vietnamese Pho Bowls,9/2.1 oz,1332544,3,,"Also available at 
COSTCO.COM",https://web.archive.org/web/20200101231059im_/https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=1332544-inc__1&recipeName=350,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-56,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,Loma Linda Chipotle Bowl with Black Beans,6/10 oz,1257048,4,,"Also available at 
COSTCO.COM",https://web.archive.org/web/20200101231059im_/https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=1257048-847&recipeName=350,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-57,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,Jif OR Skippy Peanut Butter,2/48 oz,924646,2,,"Also available at 
COSTCO.COM",https://web.archive.org/web/20200101231059im_/https://mobilecontent.costco.com/live/resource/img/20w0453-jan-2020-app-us/350-dec-mvm-peanutbutter.jpg,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-58,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,Season Skinless & Boneless Sardines in Olive Oil,6/4.375 oz,180973,3,,"Also available at 
COSTCO.COM",https://web.archive.org/web/20200101231059im_/https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=180973-847&recipeName=350,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-59,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,Kellogg's Special K Red Berries Cereal,43 oz,945452,2,,"Also available at 
COSTCO.COM",https://web.archive.org/web/20200101231059im_/https://mobilecontent.costco.com/live/resource/img/20w0453-jan-2020-app-us/350-dec-mvm-specialk.jpg,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-60,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,Hillshire Farm Naturals Turkey Breast,3/11 oz,947880,3,,,https://web.archive.org/web/20200101231059im_/https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=947880-847&recipeName=350,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-61,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,Chobani Less Sugar Greek Yogurt Variety Pack,12/5.3 oz,1314824,3,,,https://web.archive.org/web/20200101231059im_/https://mobilecontent.costco.com/live/resource/img/20w0453-jan-2020-app-us/350-dec-mvm-chabanni.jpg,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-62,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,Dannon Oikos Triple Zero Yogurt Variety Pack,18/5.3 oz,1271446,4,,,https://web.archive.org/web/20200101231059im_/https://mobilecontent.costco.com/live/resource/img/20w0453-jan-2020-app-us/350-dec-mvm-oikos.jpg,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-63,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,Sabatasso's Pizza Singles Variety Pack,12 ct,624842,3,,,https://web.archive.org/web/20200101231059im_/https://mobilecontent.costco.com/live/resource/img/20w0453-jan-2020-app-us/350-dec-mvm-pizza-singles.jpg,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-64,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,Don Miguel Chicken & Cheese Mini Tacos,72 ct,1048300,3,,,https://web.archive.org/web/20200101231059im_/https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=1048300-847&recipeName=350,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
1718592851-65,https://web.archive.org/web/20200101231059/https://www.costco.com/online-offers.html,Brazi Bites Brazilian Cheddar & Parmesan Cheese Bread,36 oz,1018790,3,,,https://web.archive.org/web/20200101231059im_/https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=1018790-847&recipeName=350,Valid 1/2/20 - 1/26/20,2-Jan-2020,26-Jan-2020
